Year,Series,Sustainability level,Unit measure,Unit multiplier,Observation status,Value
2008,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,Percentage (%),Units,Undefined,21.05263158
2009,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,Percentage (%),Units,Undefined,26.31578947
2010,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,Percentage (%),Units,Undefined,29.8245614
2011,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,Percentage (%),Units,Undefined,33.33333333
2012,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,Percentage (%),Units,Undefined,40.35087719
2013,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,Percentage (%),Units,Undefined,54.38596491
2014,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,Percentage (%),Units,Undefined,49.12280702
2015,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,Percentage (%),Units,Undefined,49.12280702
2016,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,Percentage (%),Units,Undefined,52.63157895
2017,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,Percentage (%),Units,Undefined,49.12280702
1990,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,Percentage (%),Units,Undefined,49.12280702
1991,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,Percentage (%),Units,Undefined,49.12280702
1992,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,Percentage (%),Units,Undefined,49.12280702
1993,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,Percentage (%),Units,Undefined,57.89473684
1994,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,Percentage (%),Units,Undefined,57.89473684
1995,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,Percentage (%),Units,Undefined,63.15789474
1996,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,Percentage (%),Units,Undefined,66.66666667
1997,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,Percentage (%),Units,Undefined,63.15789474
1998,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,Percentage (%),Units,Undefined,68.42105263
1999,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,Percentage (%),Units,Undefined,68.42105263
2000,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,Percentage (%),Units,Undefined,64.9122807
2001,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,Percentage (%),Units,Undefined,68.42105263
2002,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,Percentage (%),Units,Undefined,63.15789474
2003,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,Percentage (%),Units,Undefined,56.14035088
2004,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,Percentage (%),Units,Undefined,57.89473684
2005,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,Percentage (%),Units,Undefined,61.40350877
2006,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,Percentage (%),Units,Undefined,64.9122807
2007,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,Percentage (%),Units,Undefined,61.40350877
2008,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,Percentage (%),Units,Undefined,59.64912281
2009,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,Percentage (%),Units,Undefined,56.14035088
2010,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,Percentage (%),Units,Undefined,50.87719298
2011,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,Percentage (%),Units,Undefined,47.36842105
2012,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,Percentage (%),Units,Undefined,42.10526316
2013,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,Percentage (%),Units,Undefined,29.8245614
2014,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,Percentage (%),Units,Undefined,35.0877193
2015,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,Percentage (%),Units,Undefined,35.0877193
2016,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,Percentage (%),Units,Undefined,31.57894737
2017,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested above FMSY,Percentage (%),Units,Undefined,33.33333333
1990,"Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,43.85964912
1991,"Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,40.35087719
1992,"Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,38.59649123
1993,"Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,31.57894737
1994,"Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,29.8245614
1995,"Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,31.57894737
1996,"Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,28.07017544
1997,"Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,31.57894737
1998,"Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,28.07017544
1999,"Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,26.31578947
2000,"Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,26.31578947
2001,"Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,22.80701754
2002,"Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,22.80701754
2003,"Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,19.29824561
2004,"Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,21.05263158
2005,"Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,19.29824561
2006,"Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,19.29824561
2007,"Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,19.29824561
2008,"Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,19.29824561
2009,"Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,17.54385965
2010,"Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,19.29824561
2011,"Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,19.29824561
2012,"Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,17.54385965
2013,"Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,15.78947368
2014,"Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,15.78947368
2015,"Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,15.78947368
2016,"Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,15.78947368
2017,"Pressure (Stocks harvested, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,17.54385965
